BoxName,Position,PartNumber,Description,Manufacturer,Category,Quantity,MinStock,Supplier,SupplierPartNumber,Value,Package,Tolerance,Voltage,UnitPrice,Notes,DatasheetUrl,SalesOrderNumber
Blue Label Box,J-03,CL32B476KPJNNWE,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47uF+/-10% 10V X7R 3 1210,,Other,40,10,Mouser,187-CL32B476KPJNNWE,,,,,0.541,,,275422760
Blue Label Box,J-09,GRM188Z71A106KA73J,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 10% 0603 X7R,,Other,140,10,Mouser,81-GRM188Z71A106KA3J,,,,,0.107,,,275422760
Blue Label Box,J-10,GRM188Z71A106KA73D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 10% 0603 X7R,,Other,100,10,Mouser,81-GRM188Z71A106KA3D,,,,,0.107,,,275422760
Blue Label Box,J-11,0603B104K100CT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.10uF +-10% 10V,,Other,1000,10,Mouser,791-0603B104K100CT,,,,,0.005,,,275422760
Blue Label Box,J-12,CL10B225KP8NNNC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF+/-10% 10V X7R 0603,,Other,500,10,Mouser,187-CL10B225KP8NNNC,,,,,0.014,,,275422760
Blue Label Box,L-01,885012205018,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 0.1uF 0402 10% 10V MLCC,,Other,500,10,Mouser,710-885012205018,,,,,0.014,,,275422760
Blue Label Box,K-01,C0603C103K3RACTU,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.01uF X7R 0603 10%,,Other,500,10,Mouser,80-C0603C103K3R,,,,,0.013,,,275422760
Blue Label Box,L-02,C0402C102K8RACAUTO,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1000pF X7R 0402 10% AEC-Q200,,Other,100,10,Mouser,80-C0402C102K8RAUTO,,,,,0.023,,,275422760
Blue Label Box,L-03,885012205003,Multilayer Ceramic Capacitors MLCC - SMD/SMT WCAP-CSGP 330pF 0402 10% 10V MLCC,,Other,100,10,Mouser,710-885012205003,,,,,0.012,,,275422760
Blue Label Box,L-04,LMF105B7103KVHF,Multilayer Ceramic Capacitors MLCC - SMD/SMT 963-MAASL105SB7103KF RPLCMT PN 10V 0.01uF X7R 0402 AEC-Q200,,Other,500,10,Mouser,963-LMF105B7103KVHF,,,,,0.021,,,275422760
Blue Label Box,J-04,CL32B476MPJNNNE,Multilayer Ceramic Capacitors MLCC - SMD/SMT 47uF+/-20% 10V X7R 3 1210,,Other,100,10,Mouser,187-CL32B476MPJNNNE,,,,,0.254,,,275422760
Blue Label Box,L-05,GCM155C71A105KE38D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 10 VDC 10% 0402 X7S AEC-Q200,,Other,500,10,Mouser,81-GCM155C71A105KE8D,,,,,0.03,,,275422760
Blue Label Box,K-02,C0603C330K5RACTU,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 33pF X7R 0603 10%,,Other,40,10,Mouser,80-C0603C330K5RACTU,,,,,0.129,,,275422760
Blue Label Box,K-08,AC0402JRX7R9BB472,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 4700pF X7R 0402 5% AEC-Q200,,Other,100,10,Mouser,603-AC402JRX7R9BB472,,,,,0.021,,,275422760
Blue Label Box,K-09,C0402C103J5RAC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.01uF X7R 0402 5%,,Other,100,10,Mouser,80-C0402C103J5RAC,,,,,0.014,,,275422760
Blue Label Box,K-10,04025C104JAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0402 5%,,Other,500,10,Mouser,581-04025C104JAT2A,,,,,0.022,,,275422760
Blue Label Box,K-11,04025C102KAT2A-62,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .001uF X7R 0402 10% -62C Storage Tem,,Other,500,10,Mouser,581-04025C102KAT2A62,,,,,0.006,,,275422760
Blue Label Box,J-07,08055C103KAT2A,Multilayer Ceramic Capacitors MLCC - SMD/SMT KGM21NR71H103KT NEW GLOBAL PN 50V 0.01uF A 581-KGM21NR71H103KT,,Other,100,10,Mouser,581-08055C103K,,,,,0.028,,,275422760
Blue Label Box,J-08,CL21B102KBCNNND,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1nF0.150V X7R 2012 0805,,Other,100,10,Mouser,187-CL21B102KBCNNND,,,,,0.017,,,275422760
Blue Label Box,K-03,MCASU168SB7104MTNA01,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0603 20% AEC-Q200,,Other,100,10,Mouser,963-MCASU168SB7104MT,,,,,0.029,,,275422760
Blue Label Box,K-12,GRM155Z71A225ME43D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 10 VDC 20% 0402 X7R,,Other,100,10,Mouser,81-GRM155Z71A225ME3D,,,,,0.05,,,275422760
